Name,Description,Certification Date,Location,Sector,Website,Overall Score,Governance,Workers,Community,Environment,Customers
Next Street,"Next Street is a mission-driven advisory firm working to drive impact in communities across the US. They serve small businesses and nonprofits directly, as well as work with ecosystem partners seeking to influence sustainable economic development solutions.","December, 2010","New York, New York, United States",Service with Minor Environmental Footprint,nextstreet.com,81.6,15.9,27.2,15.7,5.3,17.5
Flow,"Flow is a content marketing agency for Visionary leaders. They want to help the thousands of potential influencers (i.e. Visionaries) looking to share their message with the world but don’t know how. They use an innovative process to turn their talent’s expertise into a tight messaging strategy that resonates with their target audience. They then turn their messaging strategy into a professional content plan designed to scale ideas fast. Whether it’s for basic amplification or an entire messaging platform and content strategy, Flow elevates the demand and opportunities for leaders in any industry. They do this while carrying out their founding purpose: to create digital marketing apprenticeships that prepare highly-motivated, under-skilled talent for digital marketing careers. Putting a modern spin on the ancient Apprenticeship model, they pair their master talent with emerging talent to up-skill the labor force.","July, 2018","Denver, Colorado, United States",Service with Minor Environmental Footprint,www.feelmeflow.com,100.0,13.4,19.8,57.0,9.6,
The Tofurky Company,"Tofurky is one of the largest producers of vegan plant-based proteins in the U.S. It produces more than 40 delicious vegan products, including a large line of deli slices, sausages, burgers, grounds, chickÕn, pizzas, pockets, tempeh and (of course) the Tofurky holiday roast. Still privately held, the organization is lead by Jaime Athos, CEO, who continues to champion Founder Seth TibbottÕs commitment to environmental sustainability and animal welfare. Tofurky hopes to get every bacon-chomping, barbecue-loving eater out there to see the wisdom of a plant-based diet. Vegetarian and plant-based diets have all kinds of health benefits (including significant reductions in chronic preventable conditions like cancer, cardiovascular disease, diabetes, and obesity.) Health benefits aside, plant-based lifestyles offer a profound opportunity to make a positive impact on the environment and animal welfare. Consuming one pound of plant-based protein (vs. one pound of animal protein) can save 25 pounds of green house gas emissions (about the same as driving 27 miles) and 1,500 gallons of water! If you ask the folks at Tofurky, the food you want to eat, the food you should eat and the food you do, should all be the same food.","September, 2015","Hood River, Oregon, United States",Manufacturing,www.tofurky.com,81.6,14.0,21.7,18.9,24.1,2.9
Groennfell Meadery LLC,"Groennfell Meadery brews historically-inspired craft meads from pure wildflower honey. Their drinks are meant for feasting - whether it’s High Summer, Midwinter, or every day. Grab a pint, grab some friends, and Join the Feast.","January, 2020","St Albans, Vermont, United States",Manufacturing,www.groennfell.com,82.4,15.2,19.2,21.8,23.0,3.0
Evolution Marketing,"Evolution Marketing, LLC is a Wisconsin based women-owned company specializing in the area of global sustainability storytelling, environmentally responsible creative design and marketing. They also offer a variety of consulting services within the fields of sustainability, supply chain management, organic/natural food, farming and third-party responsible business certifications. They are experts at communication and practitioners of sustainable business initiatives. Their team has over a decade of experience working at the intersection of sustainability, corporate social responsibility, public affairs, employee engagement, corporate branding and marketing communications. Their clients include mission-based for-profit businesses, farmers, nonprofits and governmental entities. They have helped organizations of all sizes in communicating their sustainability message to employees, customers, and other business associates. Their goals are to help your business communicate in an effective manner the types of triple bottom line or responsible business practices, products and services your company is utilizing.","July, 2018","Nashotah, Wisconsin, United States",Service with Minor Environmental Footprint,www.greenmkting.com,91.7,12.8,,43.1,14.8,20.9
Caribbean Civil Group Ltd.,"CCG is a leading and award winning specialized consulting firm in the Bahamas founded in 2001 with headquarters in New Providence, Bahamas. CCG is an IS0:9001 2008 Certified Company with specialized services including the following: transportation/traffic engineering, civil engineering, tender documents preparation, contract administration and construction supervision/contract administration services. Over the years, CCG has provided services throughout the region in countries and has established a reputation in the region as a firm with quality expertise and responsiveness to the needs of our Clients ensuring projects are value engineered, delivered on schedule and within established budgets. The consulting team at CCG has published and presented papers in the area of civil, transportation and traffic engineering in countries such as The Bahamas, United States of America, Jamaica and Trinidad and Tobago. At CCG our team has core experience in capital infrastructural works such as highway and roadway engineering and all related services. The CCG team has provided significant services as a lead or sub-consultant on major capital and private works with overall cost as high as US $3 Billion.","January, 2016","Nassau, New Providence, Bahamas",Service with Minor Environmental Footprint,www.caribbeancivilgroup.com,80.3,11.4,23.4,26.7,6.6,12.0
Solectrac,"Solectrac manufactures two models of 100% battery-powered electric tractors for agriculture and utility use: the eFarmer and the eUtility. Solectrac's electric tractors eliminate GHG emissions and particulates, reduce noise, use eight times less energy and require ten times less maintenance compared to their diesel counterparts. We help farmers and food producers reduce their carbon footprint, reduce harm to soil and human health caused by diesel engine use, and support regenerative agriculture and carbon sequestration initiatives. Solectrac's powerful, quiet, zero emissions tractors can be powered by renewable energy, and are ready to replace diesel tractors in the 40-horsepower and under market segment.","June, 2019","Albion, California, United States",Manufacturing,www.solectrac.com,82.2,14.3,,34.7,33.1,
Sustainable Insight Capital Management,"Sustainable Insight Capital Management (SICM) is an investment management firm that combines a disciplined security selection process with environmental, social and governance (ESG) principles.","February, 2016","New York, New York, United States",Service with Minor Environmental Footprint,www.sicm.com,85.5,15.7,26.2,4.4,6.8,32.1
CleanGreens Solutions SA,"Founded in 2013, CleanGreens (previously known as CombaGroup SA) spent its first 6 years designing, developing and polishing its very first clean growing system at their headquarters in Molondin, Canton de Vaud, Switzerland.","July, 2020","Molondin, Vaud, Switzerland",Manufacturing,www.cleangreens.ch,86.8,7.8,20.1,10.1,47.0,1.6
Recycle-A-Textbook.com,RTB is a wholesale textbook company that recirculates used textbooks to college students as well as elementary/high school districts. They also hire student interns to help grow and spread their mission of offering lower cost textbooks to students nationwide.,"November, 2016","Lexington, Kentucky, United States",Wholesale/Retail,www.recycleatextbook.com,86.0,12.8,19.3,12.5,20.7,20.5
Underground Communications,Underground Communications shares the positive social impact stories of companies doing great things. They're a PR and communications agency providing strategic advice and implementation of effective communication strategies to organisations that want to make a change in the world.,"October, 2018","Sydney, New South Wales, Australia",Service with Minor Environmental Footprint,www.undergroundcomms.com.au,100.3,6.6,24.3,51.4,5.4,12.4
Ediciones SM SAC,"SM is a living actor and committed to the world of culture and education. Founded by the Company of María and endorsed by a trajectory of more than seventy years of work in different countries of Ibero-America, SM is today one of the most outstanding and young agents of the publishing sector and educational solutions in Peru. Since the birth of SM in Peru in 2008, they are a project committed to the country and to education. The investment made by SM aims to generate employment, support the expansion of the social base of culture and promote the extension of quality education to all Peruvians. All the profits generated are reinvested in the expansion of the local business project and in social and educational projects aimed at those who need it most through the work of the SM Foundation.","January, 2019","Lima, Peru",Wholesale/Retail,sm.com.pe,101.1,9.9,13.5,33.2,24.5,19.9
Kotn,"Kotn is a direct to consumer basics company. They create timeless essentials made out of Egyptian cotton at an affordable price. Kotn use the finest cotton in the world, and their mission is to save Egyptian cotton, and people it supports, from extinction. It is incredibly important for companies that share a similar mindset of bettering the world around them to band together.","September, 2017","Toronto, Ontario, Canada",Wholesale/Retail,www.kotn.com,95.5,8.7,17.5,61.2,8.1,
Cervecera Guayacan SpA,Guayacán is a Craft Brewery located in north Chile's Elqui Valley that produce their beers with renewable energy while including the local community in Diaguitas. Almost 100% of their employees are local people. They also drive the development of regional tourism with guided tours to the plant and a local beergarden next to their facilities. They aim to be one of the 5 biggest craft breweries in Chile.,"March, 2017","Vicuna, Diaguitas, Coquimbo, Vicuna, Chile",Manufacturing,www.guayacan.cl,80.2,17.1,23.9,15.2,21.8,1.9
Global Prairie,"One part creative agency, one part data analytics firm, and one part consulting company, Global Prairie unites the creativity, insight and strategy needed to drive meaningful change. With a passion for cultivating a healthier world, their expertise runs deepest in Healthcare, Government, Agriculture and Food, Sustainability, Energy, and Philanthropic Organizations. They are grateful to work with companies worldwide who are striving to create meaningful change.","March, 2015","Kansas City, Missouri, United States",Service with Minor Environmental Footprint,www.globalprairie.com,116.7,15.9,35.9,48.5,11.4,5.0
Flow Hive (BeeInventive Pty Ltd),"Launched with a record-breaking crowdfunding campaign in 2015, Flow took the beekeeping world by storm with a “honey on tap” honey-harvesting system designed to be easier on the bees and the beekeeper. Invented by father and son, Stuart and Cedar Anderson, Flow technology has become synonymous with Australian ingenuity and innovation. Now being used in more than 130 countries, the brand is a prominent advocate for pollinators and for strengthening humanity’s connection with the natural world. Flow technology has been recognised with the Good Design Australia Product of the Year Award 2016, the D&AD White Pencil Award for Urban Living 2016, the Fast Company World Changing Ideas Award 2017, Silver at the World Beekeeping Awards 2017, and for inspiring thousands of new beekeepers all around the world.","July, 2018","Byron Bay, New South Wales, Australia",Manufacturing,honeyflow.com,92.6,8.9,23.0,16.4,44.2,
"Murphy's Naturals, Inc","Raleigh, NC-based Murphy's Naturals is the maker behind the brand name Murphy's Mosquito Sticks & Candles, both all-natural and toxin-free mosquito and flying insect repellent products. Designing each product with their mission in mind—to celebrate nature and inspire goodwill—Murphy's Naturals hopes to appeal to the socially conscious consumer who loves the outdoors and wants an affordable, pleasant to use, and earth-friendly means of enjoying it. Murphy's Naturals products are distributed nationwide online and in natural product stores, lawn and garden centers, hardware stores, and other gift venues.","June, 2015","Raleigh, North Carolina, United States",Wholesale/Retail,www.murphysnaturals.com,82.4,6.9,18.5,44.5,12.5,
New Leaf Community Markets,"New Leaf Community Markets has been a purveyor of goodness since 1985. Founded in 1985, the stores’ mission, to nourish and sustain their community, is reflected in the 10% of profits given annually to support local non-profits working to improve the quality of life. New Leaf is committed to offering customers food and lifestyle choices that have the most beneficial impact on their health, and the health of the environment. Helping customers make informed decisions is an integral part of this commitment. A Certified Green Business, New Leaf Community Markets was the first retailer on the Central Coast of California to: merchandise local farms with signage in the stores, develop a program to encourage shoppers to reuse grocery bag, and help develop and launch FishWise _ a nationally recognized program that makes it for people to select sustainable seafood. New Leaf has been recognized with many awards including: Santa Cruz County Be the Difference Business Award, Santa Cruz's Best Health Food Store, Santa Cruz's Best Grocery Store, and United Way of Santa Cruz County’s Golden Carrot Award.","October, 2013","Santa Cruz, California, United States",Wholesale/Retail,www.newleaf.com,80.1,13.8,17.5,19.0,27.9,1.6
"Opticos Design, Inc.","Opticos Design, Inc. is an urban design and architecture firm that specializes in the creation of vibrant, sustainable communities, comfortable pedestrian environments, and well-crafted buildings that will all withstand the test of time and reinforce the unique, local character of a place. Opticos became a B corporation to find support in creating a business that better reflects our passions and beliefs that businesses should be socially, environmentally, and fiscally responsible, as well as to provide a successful business model to other firms looking to do the same. The name Opticos has its roots in the term “logos opticos” which was used by Viturvius in his architectural treatise, “The Ten Books of Architecture,” referring to the innate sense of harmony within well-composed visual information. The company's practice embodies this sense of harmony in the inviting public spaces and overall great places they create in their town planning practice, as well as in the well proportioned and comforting traditional and classical buildings they craft.","September, 2007","Berkeley, California, United States",Service with Minor Environmental Footprint,opticosdesign.com,82.6,16.2,27.0,24.1,15.3,
Brattleboro Savings & Loan,"Founded in 1912 the Brattleboro Savings & Loan is an independent mutual bank with no shareholders. They are a leading provider of financial services to residents, businesses and non-profits in their market area. They offer a full range of personal and commercial banking services. Park Place Financial Advisors, the wealth management division, provides investment management services. INVESTMENTS ARE NOT INSURED BY THE FDIC AND ARE NOT DEPOSITS OR OTHER OBLIGATIONS OF, OR GUARANTEED BY, ANY DEPOSITORY INSTITUTION. FUNDS ARE SUBJECT TO INVESTMENT RISKS, INCLUDING POSSIBLE LOSS. The financial advisors of Park Place Financial Advisors offer securities and advisory services through Commonwealth Financial Network®, Member www.FINRA.org/www.SIPC.org, a Registered Investment Adviser. Brattleboro Savings and Loan is not a registered broker-dealer or Registered Investment Adviser. Brattleboro S & L and Commonwealth are separate and unaffiliated entities.","December, 2018","Brattleboro, Vermont, United States",Service with Minor Environmental Footprint,brattbank.com,96.7,16.6,30.1,33.2,7.5,9.2
Wakefield Agency,"Wakefield Agency is a boutique video agency based in Vancouver, BC that specializes in crafting well-told video campaigns for visionary organizations. Storytelling = impact and experiences. Videos allow you to dig deep to connect with the audience, eliciting a level of emotion that might not have believed was possible. Wakefield Agency is an extension of an organization's marketing team, marketing department, and the internal marketing’s SWAT — whatever the case, the Wakefield team works with every company through a 4-step process proven to help amplify impact. Whether an organization sells a product or champions a cause, they are committed to drawing out the heart behind what that organization does. Wakefield Agency wants to a way that awakens meaningful connections and wins brand loyalty.","July, 2020","Vancouver, British Columbia, Canada",Service with Minor Environmental Footprint,https://wakefield.agency,93.3,14.3,34.2,25.9,6.3,12.4
Amor & Rosas,"Ethical fashion brand, bringing together modern designs with touches of Mexican handmade embroidery and eco-friendly fabrics. Their pieces showcase the unique and authentic look of Mexican culture in a modern and trendy way, with high quality as a top priority. They operate under a social impact model and a set of environmental sustainability practices, which are key components to our business model.","August, 2020","Ciudad de Mexcio, Ciudad de México, Mexico",Manufacturing,amorandrosas.com,86.5,11.1,27.4,35.0,8.7,4.2
Checkerspot,"Checkerspot designs performance materials at the molecular level. It does this by optimizing microbes to biomanufacture unique triglyceride oils not previously accessible at commercial scale. Checkerspot's first materials are next generation polyurethanes and textile finishes designed to improve the performance of consumer products. The company is currently commercializing performance composites engineered into skis and sold through the brand WNDR Alpine (https://wndr-alpine.com), as well as algal oil formulated into miDori® BioWick textile finishes and sold in partnership with Beyond Surface Technologies (https://www.midori-bio.com/biowick.html). Checkerspot's mission is to expand the palette of molecular building blocks for high performance and sustainable materials. Their vision is one of empowerment. They empower the innovators, designers, and fabricators the makers that conceive the next generation of high performance products by delivering unique, new technologies & materials into their hands.","November, 2019","Berkeley, California, United States",Wholesale/Retail,www.checkerspot.com,84.2,15.0,23.3,13.7,32.0,
Yala Jewellery,"Yala is African jewelry for the modern woman, ethically and sustainably produced in Kenya. Their brand purpose is to provide financial opportunitiy for artisans working in the informal sector, particularly women.","May, 2019","Bristol, Bristol, United Kingdom",Wholesale/Retail,www.yalajewellery.com,87.6,19.0,,44.9,20.2,3.4
Onde Alte Srl-SB,"Onde Alte Srl-SB's mission is very simple: amplify the capacity for businesses, foundations, humanitarian organizations and the public sector to simultaneously aim for the growth of their economic performance and for positive change in the world. During the last few years, there has been a profound societal evolution, moving towards a common good and making “working with a greater purpose” be a new imperative. As people slowly gain more direct contact and participation with businesses, they are insisting on complete transparency, responsibility and social awareness. Onde Alte Srl-SB exists to help organisations make this cultural step, both internally and externally, involving the different stakeholders with whom they come in contact. They exist to help organisations navigate this new economic scenario that is geared towards a “purpose” because they believe that doing good not an alternative choice. They exist because issues like poverty, access to good education, gender equality, social inequality and the sustainable development of our planet are shared responsibilities. They exist to put “the purpose” of what we do at the heart of their conversations.","September, 2019","San Donà di Piave, Venezia, Italy",Service with Minor Environmental Footprint,www.ondealte.com,80.1,19.2,23.4,15.9,6.1,15.4
"Instinctus Co., Ltd.","Founded on the vision that ‘everyone is entitled to safer sex’, Instinctus Co., Ltd. is a social venture that aims to make better, brighter, healthier sex culture within communities and society. For being socially, environmentally, and ethically responsible, they have been certified to be the 11th B Corporation of Korea.","May, 2016","Seoul, Seoul, Korea (Republic of)",Wholesale/Retail,www.evecondoms.com,89.1,8.3,28.4,26.7,16.5,9.0
"Perlman and Perlman, LLP","Perlman & Perlman LLP has provided legal counsel to nonprofits, fundraising professionals and philanthropically motivated businesses since 1959. In recent years, the firm’s expertise has expanded to include the evolving field of social enterprise law. Based in New York, it serves organizations and individuals across the nation and around the world, with a dedicated focus on charitable and socially beneficial enterprises.  Their commitment to the philanthropic ethos is deeply embedded in their business practice. They seek to partner with their clients for the long term, sharing their commitment to changing and improving the world in which they live. Although the community of their clients has broadened over the past fifty years, it continues to be comprised of agents for positive social change. In spite of this, the wide gulf between the nonprofit and for profit worlds has impacted the ability of those seeking such change to do so both productively and sustainably. Today, there is a growing community of entrepreneurs who seek to bridge the gap by exploring new ways to operate as economically viable businesses without sacrificing benefits to those stakeholders impacted by the activities of the business.","May, 2011","New York, New York, United States",Service with Minor Environmental Footprint,perlmanandperlman.com,80.1,15.7,24.4,18.3,6.4,15.2
KeepCup,"KeepCup is the world's first barista standard reusable cup, designed for people to enjoy better coffee on the go. ​ Launched in 2009 KeepCup is now embraced all over the world and reusers divert millions of single-use cups daily, saving more than an estimated 8 billion single-use cups from landfill each year. Carrying a KeepCup has become a symbol of the difference individual action can make.​ KeepCup is in business for better, leading the charge to ensure the world no longer needs, wants or uses single-use cups. KeepCup is a Certified BCorporation and member of 1% for the Planet, donating at least 1% of global revenue to environmental causes.","August, 2014","Clifton Hill, VIC, Australia",Wholesale/Retail,keepcup.com,107.4,9.0,24.9,21.0,44.3,8.0
Scratch and Peck Feeds,"Scratch and Peck Feeds' President and Founder, Diana Ambauen-Meade, started making her own chicken feed in 2009, because she couldnÕt find a high quality, organic whole grain feed in stores. Her first batch was made in a borrowed cement mixer she kept in her backyard. It didnÕt take long for like-minded folks to find out about her natural feeds and want to be able to care for their own animals in the same way. Diana was on her way to realizing her dream of making the best quality whole grain animal feeds with grains grown by local organic farmers. Fast forward to 2012, when Scratch and Peck Feeds became the first Non-GMO Project Verified animal feed manufacturer in North America, then stepped it up to become Certified Organic in 2013. They were the first feed manufacturer in the nation to hold both certifications. Leading the sustainable food movement by example is key to their mission. They envision a world where organic and whole foods are found on every table, organic agriculture is dominant, animals are humanely raised, and people understand that you are what your animals eat.","March, 2017","Burlington, Washington, United States",Agriculture/Growers,www.scratchandpeck.com,81.0,12.8,24.4,10.7,30.9,2.0
Paka,"Paka is working to change the clothing industry. Our clothing is woven from one of the softest and most functional natural fibers on planet Earth - the alpaca. All fiber is sourced from free-roaming alpacas in the Andes Mountains. We also employ naturally-gifted Quechua women, who handknit and sign each sweater they make. 2/3 of all clothing is currently made of plastic, and we are just beginning to realize the consequences of this on the Earth. Not only is plastic made from petroleum (one of the most carbon-intensive processes), but the downstream route of microplastic pollution impacts every species on our planet; a study just revealed that Americans consume 5+ grams of plastic per week. Another study found 73% of fish caught at mid-ocean depths in the Northwest Atlantic have microplastic in their stomachs. To solve this, we've created a 100% earth-friendly fabric (Breathe By Paka™) - https://vimeo.com/473762838/c9f1733004. We’re working to build a new paradigm - one that is sustainable from the ground up. See everything that goes into our clothing, from the Andes Mountains —> your door (https://www.pakaapparel.com/pages/environment).","November, 2020","Troy, Virginia, United States",Wholesale/Retail,pakaapparel.com,124.8,16.3,13.3,67.0,23.6,4.5
Gifts for Good,"Gifts for Good (giftsforgood.com) is reinventing the $100 billion corporate gifting industry as the first source for business gifts with a social impact. As a B2B marketplace, they sell life-changing products made by over 40 nonprofits and social enterprises to businesses purchasing employee and client gifts in bulk. Their platform helps companies send more meaningful gifts while providing the B2B marketing team these cause-based organizations need to better sustain themselves and grow their reach and impact. Since launching in November of 2017, they have helped to better the lives of over 50,000 people in 19 states and 65 countries. Their clients include National Geographic, American Express, Warner Brothers, ZipRecruiter, KPMG, Marriot, and Google. Their founder was listed in Forbes 30 under 30 in 2019 for social entrepreneurship.","June, 2020","Los Angeles, California, United States",Wholesale/Retail,www.giftsforgood.com,100.2,6.7,17.9,40.9,11.0,23.5
"Newly, Inc.","NEWLY started with 5 friends who wanted to make a business case that beautiful, stylish goods can be made from 100% recycled materials. They identified a great opportunity in home goods and from there NEWLY was born.","April, 2019","Nashville, Tennessee, United States",Wholesale/Retail,newly.com,84.0,16.3,,31.6,35.9,
De-LAB srl Società Benefit,"Affianchiamo il settore privato all'interno di business model ad impatto sociale: innovativi, sostenibili ed inclusivi. Portiamo avanti il nostro progetto di Business Inclusivo KOKONO™, dedicato alla salute e sicurezza infantile in East Africa (SDG 3, 12, 17). They support the private sector within business models with a social impact: innovative, sustainable and inclusive. They carry out our KOKONO ™ Inclusive Business project, dedicated to child health and safety in East Africa (SDG 3, 12, 17).","October, 2020","Milano, Milano, Italy",Service with Minor Environmental Footprint,www.delab.it,87.6,20.7,,27.2,7.7,31.8
Pecsa,"Pecsa is a cattle ranching management and partnership firm based in Northern Mato Grosso state, which rehabilitates degraded cattle ranches in the Amazon to make them productive, profitable, deforestation-free and environmentally compliant.","October, 2017","Alta Floresta, Mato Grosso, Brazil",Manufacturing,www.pecsa.com.br,82.3,14.1,17.3,15.8,35.1,
Dang Foods Company,"Dang is a better-for-you snack company bringing unprecedented culinary delights from all around the globe. As a leading coconut chip brand, Dang is committed to using high- quality ingredients that are sustainably grown and harvested. Dang Foods’ products are distributed nationwide with the motto “Dang, that’s good!”. Dang's core values are: honesty/integrity, drive, thrift, continual improvement, and healthy skepticism. Their mission is to offer innovative food products that taste dang good, while promoting health, happiness, and community. Dang does this by developing unprecedented and minimally processed food products, consistently delivering these products, and implementing socially and environmentally beneficial programs.","December, 2014","Berkeley, California, United States",Wholesale/Retail,www.Dangfoods.com,84.3,12.3,22.2,26.4,23.4,
Happy,"We are leading a movement to create empowered and productive workplaces — and now we are 100% online! We give your staff the skills they need to succeed in their roles with our Leadership and Personal Development programmes, and confidence with their IT software through our IT skills programmes. We also offer workplace consultancy for your organisation. All of our workshops can be held remotely, and are just as engaging and interactive as our classroom sessions. Take a look at our remote IT skills and our remote Leadership and Personal Development workshops for more details.","September, 2020","London, England, United Kingdom",Service with Significant Environmental Footprint,www.happy.co.uk,85.6,7.5,26.2,17.7,7.7,26.3
Publish Your Purpose Press,"As a Woman-owned and LGBTQ-owned business, Publish Your Purpose Press (PYP) is a diverse-owned hybrid publishing company with a strong focus on diversity among our team, our authors, and our supply chain. We work with business owners, entrepreneurs, and speakers to publish non-fiction books that elevate and enhance their businesses. At PYP we give underrepresented voices a platform to share their stories, speak their truth, and impact their communities. Our purpose, and mission, is to elevate and amplify the voices of others. We are fully invested in, and committed to, the success of our authors. We are focused on building long-term author relationships, not just business transactions. At PYP we understand that publishing a book can be difficult. We go to great lengths to not only ensure your book is on track and meeting its deadline, but we also do our very best to manage your emotional overwhelm. What makes us unique in the publishing world is our holistic team approach, which cares for you, the author as we collaborate to publish your book. Our team will help you establish clarity right from the start and stay beside you, helping you remain focused and on-target, providing support and guidance along the way.","May, 2020","Hartford, Connecticut, United States",Service with Minor Environmental Footprint,publishyourpurposepress.com,93.0,15.1,,34.6,7.0,36.2
GSoft,"GSoft is a Montreal-based software company striving to build simple products that enable companies to be effective. Embedded in the HR tech and IT world, the company’s two products, Sharegate and Officevibe, are currently used in more than a hundred countries.  GSoft wishes to enable fundamentally human capacities, with the help of technology, to enable workspaces to thrive and shape the future of work. The GSoft team is committed to making a positive, sustainable impact on society.","June, 2019","Montreal, Québec, Canada",Service with Minor Environmental Footprint,www.gsoft.com/en,81.6,15.0,32.9,21.7,9.3,2.4
